generation,eval_avg,eval_best,avg_fitness,topk_fitness,avg_fitness_std,topk_fitness_std,avg_len,tr_time,pct_self_play,eval_time
0,0.40732998844236135,1.0950000286102295,0.3972349762916565,0.8144550323486328,0.30345419049263,0.10870856046676636,997.8349609375,15.813255786895752,3.4e-08,13.142210006713867
1,,,0.41643744707107544,0.8427349925041199,0.3139197528362274,0.11018498241901398,1032.75244140625,15.452903509140015,1.36e-07,0
2,,,0.42356374859809875,0.8299800157546997,0.2995215058326721,0.12649066746234894,1073.4625244140625,15.45527195930481,3.0599999999999996e-07,0
3,,,0.4074487090110779,0.8004799485206604,0.28841808438301086,0.11607921868562698,1093.989990234375,15.44891095161438,5.44e-07,0
4,,,0.43449121713638306,0.8249199390411377,0.2913281321525574,0.10914851725101471,1126.70751953125,15.457515954971313,8.499999999999999e-07,0
5,,,0.4316762089729309,0.8396499156951904,0.30480363965034485,0.10927525162696838,1130.7774658203125,15.441595315933228,1.2239999999999998e-06,0
6,,,0.4306224584579468,0.8100050091743469,0.2841868996620178,0.11718060821294785,1122.5050048828125,15.43963360786438,1.6659999999999998e-06,0
7,,,0.45336249470710754,0.8516249656677246,0.2947143614292145,0.10511770099401474,1100.3524169921875,15.446383237838745,2.176e-06,0
8,,,0.4458812177181244,0.8498549461364746,0.3060448467731476,0.08946876972913742,1116.6400146484375,15.44313383102417,2.754e-06,0
9,,,0.45037370920181274,0.8257550001144409,0.29111310839653015,0.09837846457958221,1127.27001953125,15.44076657295227,3.3999999999999996e-06,0
10,0.4193149823695421,1.2055000066757202,0.43099498748779297,0.7910149693489075,0.2773745059967041,0.09431792050600052,1096.4974365234375,15.439102172851562,4.114e-06,13.073447704315186
11,,,0.4336024820804596,0.8149349689483643,0.29019227623939514,0.0962829515337944,1118.1124267578125,15.45496654510498,4.895999999999999e-06,0
12,,,0.4145587086677551,0.8090099692344666,0.2935842275619507,0.09449809044599533,1094.7349853515625,15.510014533996582,5.746e-06,0
13,,,0.4346887171268463,0.8207699656486511,0.2918013334274292,0.0901569351553917,1115.7724609375,15.454740285873413,6.663999999999999e-06,0
14,,,0.4592624604701996,0.8263049721717834,0.2874494194984436,0.10099132359027863,1147.7724609375,15.460182666778564,7.65e-06,0
15,,,0.44936370849609375,0.8012799620628357,0.27376189827919006,0.10094278305768967,1155.3299560546875,15.50918698310852,8.704e-06,0
16,,,0.44218870997428894,0.8019899725914001,0.27932533621788025,0.0966082364320755,1142.39501953125,15.447223424911499,9.825999999999999e-06,0
17,,,0.4498349726200104,0.8176999688148499,0.2797430753707886,0.1019735261797905,1163.5599365234375,15.446008443832397,1.1016e-05,0
18,,,0.4522624909877777,0.83017498254776,0.2905254662036896,0.10196621716022491,1115.9375,15.450994729995728,1.2274e-05,0
19,,,0.4668799340724945,0.8371749520301819,0.2920149266719818,0.10904606431722641,1154.530029296875,15.446693181991577,1.3599999999999999e-05,0
20,0.4599699795618653,0.9869999885559082,0.4195461869239807,0.7889149188995361,0.2764699161052704,0.08692757040262222,1182.83251953125,15.44712519645691,1.4993999999999997e-05,12.950435161590576
21,,,0.4586487412452698,0.8231399059295654,0.2815991938114166,0.09662091732025146,1149.66748046875,15.452545166015625,1.6456e-05,0
22,,,0.47700121998786926,0.8549449443817139,0.2995225489139557,0.09676681458950043,1113.592529296875,15.456480026245117,1.7986e-05,0
23,,,0.5186449289321899,0.8698399066925049,0.2869465947151184,0.09864912182092667,1109.364990234375,15.450053691864014,1.9583999999999997e-05,0
24,,,0.47712501883506775,0.8280249834060669,0.2801739275455475,0.09975975751876831,1143.9100341796875,15.460113525390625,2.125e-05,0
25,,,0.4664149284362793,0.829634964466095,0.28330937027931213,0.10625764727592468,1152.6024169921875,15.459731817245483,2.2984e-05,0
26,,,0.4891037344932556,0.8378849625587463,0.2765148878097534,0.08317998051643372,1128.7249755859375,15.462773561477661,2.4786e-05,0
27,,,0.4846324920654297,0.8376350402832031,0.2798800766468048,0.10045603662729263,1142.367431640625,15.456838607788086,2.6655999999999997e-05,0
28,,,0.4721124470233917,0.8289250135421753,0.276432603597641,0.09896207600831985,1180.094970703125,15.45119023323059,2.8593999999999998e-05,0
29,,,0.459503710269928,0.8343499302864075,0.28448766469955444,0.1057974249124527,1169.87744140625,15.45403265953064,3.06e-05,0
